Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.835503333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.835504333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.835580166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.835759333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.835760416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.835861750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.835861833333333, 0, 0, 1, 1, 1, 1, 1, 1
2.836066583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.836067583333334, 0, 1, 0, 1, 1, 1, 1, 1
2.836143333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.836143416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.836348250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.836349250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.836425000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.836425083333333, 0, 0, 1, 1, 1, 1, 1, 1
2.836629833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.836630833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.836706583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.836706666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.836910833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.836911833333334, 0, 1, 0, 1, 1, 1, 1, 1
2.836987583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.836987666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.837192416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.837193416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.837269166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.837269250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.837320416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.837321416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.837422833333334, 0, 1, 1, 1, 1, 1, 1, 1
2.837422916666667, 0, 0, 1, 1, 1, 1, 1, 1
2.837448416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.837449416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.837960416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.837960500000000, 0, 0, 1, 1, 1, 1, 1, 1
2.838011666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838012666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838037250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838037333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.838062833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.838063916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838114083333334, 0, 0, 1, 1, 1, 1, 1, 1
2.838190916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838191916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838242083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.838242166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.838267666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838268666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838293250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838293333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.838318916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838319916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838344500000000, 0, 0, 1, 1, 1, 1, 1, 1
2.838446916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838447916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838523666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838523750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.838549333333333, 0, 1, 1, 1, 1, 1, 1, 1
